"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD96",1.12045769883583e-26,-0.811348796007818,0.291,0.511,2.67845412906706e-22,"0","CD96"
"CD74",1.13617638440312e-26,-0.869605036025026,0.778,0.848,2.71602964691566e-22,"0","CD74"
"CD47",1.32779861521827e-26,0.695075115089886,0.428,0.222,3.17410258967928e-22,"0","CD47"
"RPL36",1.83296146915426e-26,-0.314354287445559,0.979,0.984,4.38169439201326e-22,"0","RPL36"
"S100A4",2.64598225299141e-26,0.465658039937843,0.937,0.832,6.32522057577597e-22,"0","S100A4"
"MTSS1",5.27127346318112e-26,0.582571226554915,0.195,0.047,1.26009792137345e-21,"0","MTSS1"
"TNF",5.40537705944505e-26,1.00090562323836,0.515,0.302,1.29215538606034e-21,"0","TNF"
"SARAF",5.89607717356371e-26,-0.55196358754315,0.818,0.884,1.4094572483404e-21,"0","SARAF"
"SPRY1",1.05315101910847e-25,-0.738171070519467,0.013,0.152,2.51755751117879e-21,"0","SPRY1"
"CEP78",1.27971370067811e-25,0.648985369087432,0.217,0.061,3.05915560147103e-21,"0","CEP78"
"C12orf75",1.53123474694878e-25,0.627353688020789,0.549,0.335,3.66041666258107e-21,"0","C12orf75"
"NBL1",2.38060588287222e-25,-0.552014024161355,0.006,0.134,5.69083836300603e-21,"0","NBL1"
"CD27",8.81132694175294e-25,-0.727067017453045,0.041,0.196,2.10634770542604e-20,"0","CD27"
"LINC02446",1.59376986906918e-24,-1.44736102246872,0.16,0.346,3.80990687200987e-20,"0","LINC02446"
"ITGA1",3.4477619156031e-24,-0.562246795976793,0.005,0.127,8.24187485924922e-20,"0","ITGA1"
"CD82",3.48316899927495e-24,-0.624881693922532,0.02,0.158,8.32651549276678e-20,"0","CD82"
"KLF3",4.10067532735224e-24,0.696637220170064,0.261,0.093,9.80266437003553e-20,"0","KLF3"
"EMP3",7.0637726058744e-24,0.522626135142796,0.732,0.553,1.68859484143427e-19,"0","EMP3"
"GZMB",8.58017305383938e-24,0.354739436783458,0.855,0.613,2.0510903685203e-19,"0","GZMB"
"ALOX5AP",1.2135107765654e-23,-0.81692786333998,0.311,0.512,2.90089751137959e-19,"0","ALOX5AP"
"ABHD17A",1.33871047512888e-23,0.623938483889393,0.338,0.154,3.20018739079558e-19,"0","ABHD17A"
"CAMK4",1.42780057501372e-23,-0.661768505344992,0.074,0.246,3.41315727457029e-19,"0","CAMK4"
"ICAM2",1.47326786105319e-23,0.686541565057547,0.273,0.106,3.52184682184764e-19,"0","ICAM2"
"CLDND1",1.50036368626609e-23,-0.863766868024763,0.24,0.442,3.58661939201909e-19,"0","CLDND1"
"C1orf21",2.45457289667861e-23,0.550781244023118,0.328,0.14,5.86765650951021e-19,"0","C1orf21"
"PDE4B",6.25211299523275e-23,-0.711327758071668,0.119,0.311,1.49456761151039e-18,"0","PDE4B"
"CPNE7",1.44039552529963e-22,-0.490604945664597,0.006,0.121,3.44326550322876e-18,"0","CPNE7"
"KLRC1",3.91630125305957e-22,-0.986479081488924,0.063,0.222,9.36191814543889e-18,"0","KLRC1"
"IFITM2",4.15548171509879e-22,0.42514141993174,0.913,0.832,9.93367903994366e-18,"0","IFITM2"
"CRIP1",8.28393003363127e-22,-0.872042200724541,0.737,0.813,1.98027347453956e-17,"0","CRIP1"
"ITGAE",1.30995692188696e-21,-0.700001452489922,0.119,0.298,3.13145202177077e-17,"0","ITGAE"
"IL7R",1.42160076869448e-21,-0.941731326912292,0.204,0.404,3.39833663756416e-17,"0","IL7R"
"PHLDA1",1.49041428260451e-21,-0.817189883596646,0.138,0.32,3.56283534256609e-17,"0","PHLDA1"
"PTP4A2",1.73806869541339e-21,0.568764312820189,0.533,0.343,4.1548532163857e-17,"0","PTP4A2"
"HLA-E",2.7911938730033e-21,0.336838791814956,0.98,0.946,6.6723489534144e-17,"0","HLA-E"
"RAB29",3.37381209972051e-21,0.614124726070976,0.292,0.127,8.06509782438189e-17,"0","RAB29"
"ITGAM",3.76340652167191e-21,0.511729713312974,0.166,0.041,8.99642329005671e-17,"0","ITGAM"
"CD9",3.77584492392064e-21,-0.474556818427385,0.001,0.103,9.02615729063228e-17,"0","CD9"
"ZEB2",4.48344396356448e-21,0.592993634611606,0.54,0.347,1.07176727949009e-16,"0","ZEB2"
"MYBL1",9.25492995507941e-21,0.543797804258063,0.274,0.111,2.21239100576173e-16,"0","MYBL1"
"IGFBP7",1.01198184607394e-20,0.677958461685768,0.123,0.021,2.41914260303975e-16,"0","IGFBP7"
"RAP1GAP2",1.75073175745424e-20,0.427429748397107,0.116,0.017,4.18512426619437e-16,"0","RAP1GAP2"
"KRT81",1.77848255815982e-20,-0.695214213592137,0.006,0.111,4.25146255528104e-16,"0","KRT81"
"MYO1G",2.20770595071939e-20,0.565448917634517,0.361,0.188,5.2775210751947e-16,"0","MYO1G"
"RPS24",2.63122883581759e-20,-0.253551031873715,0.993,0.985,6.28995253202195e-16,"0","RPS24"
"TGFBR3",3.27763922190222e-20,0.523129280515237,0.242,0.091,7.83519655995726e-16,"0","TGFBR3"
"TNFRSF18",3.47152157205027e-20,-0.779398658296592,0.064,0.214,8.29867231798617e-16,"0","TNFRSF18"
"TMEM14C",3.6502581380314e-20,-0.439428705388586,0.029,0.157,8.72594207896407e-16,"0","TMEM14C"
"LINC02384",4.570156931102e-20,0.516599111064437,0.128,0.024,1.09249601437993e-15,"0","LINC02384"
"LILRB1",4.57365458213622e-20,0.475774153912675,0.157,0.04,1.09333212785966e-15,"0","LILRB1"
"GSAP",5.29784936422721e-20,0.503385171678783,0.139,0.03,1.26645089051851e-15,"0","GSAP"
"SRGAP3",6.04181992632402e-20,-0.428609760860693,0.005,0.106,1.44429705338776e-15,"0","SRGAP3"
"CMC1",1.60707688454486e-19,0.578491571056064,0.594,0.383,3.84171729250448e-15,"0","CMC1"
"LIME1",1.70327705697871e-19,0.528455941205895,0.464,0.274,4.07168380470761e-15,"0","LIME1"
"HLA-DRB1",1.74700918615311e-19,-0.906417293759113,0.368,0.523,4.17622545949902e-15,"0","HLA-DRB1"
"MT-CO2",1.81054960897645e-19,0.272732463000985,1,0.996,4.32811884025819e-15,"0","MT-CO2"
"GALNT2",1.92619936967999e-19,-0.633296747064694,0.054,0.194,4.60457959322003e-15,"0","GALNT2"
"GPR141",2.53473688208962e-19,0.367722115294478,0.116,0.019,6.05928851663525e-15,"0","GPR141"
"ADRB2",2.6058271696991e-19,0.523639175175136,0.29,0.127,6.2292298491657e-15,"0","ADRB2"
"CALM1",2.64351691404521e-19,0.332561952622658,0.927,0.858,6.31932718302507e-15,"0","CALM1"
"FABP5",3.546222223154e-19,-0.83575535244054,0.092,0.245,8.47724422444965e-15,"0","FABP5"
"LTB",5.98198365798875e-19,-0.85330252260442,0.091,0.242,1.42999319344221e-14,"0","LTB"
"UBC",7.32738350751116e-19,-0.607362401487523,0.939,0.942,1.75161102747054e-14,"0","UBC"
"LPCAT1",8.02250492364506e-19,0.545112974622147,0.26,0.11,1.91777980199735e-14,"0","LPCAT1"
"RPL3",1.34543115120884e-18,0.276350845551487,0.982,0.979,3.21625316696472e-14,"0","RPL3"
"AHR",1.59802267779163e-18,-0.491819691290447,0.015,0.121,3.82007321126089e-14,"0","AHR"
"ARPC2",1.66169225465626e-18,0.43805893418021,0.862,0.78,3.97227533475579e-14,"0","ARPC2"
"NELL2",1.70844442561181e-18,-0.486401684767712,0.019,0.129,4.08403639942504e-14,"0","NELL2"
"TPST2",2.38915964222752e-18,0.558702978824238,0.418,0.244,5.71128612474489e-14,"0","TPST2"
"NAMPT",2.4213531497638e-18,-0.629346391558497,0.106,0.264,5.78824470451036e-14,"0","NAMPT"
"HLA-DQB1",2.49609764925021e-18,-0.689411967100324,0.133,0.295,5.96692143053263e-14,"0","HLA-DQB1"
"MALAT1",2.66477507242118e-18,0.324869846146584,1,0.997,6.37014481062283e-14,"0","MALAT1"
"GK5",2.99351983446251e-18,0.463529378899021,0.175,0.053,7.15600916428263e-14,"0","GK5"
"RPL8",5.33384926803902e-18,-0.268427013587319,0.988,0.982,1.27505666752473e-13,"0","RPL8"
"ACP5",5.91941226794545e-18,-0.574433874219306,0.045,0.172,1.41503550265236e-13,"0","ACP5"
"TBC1D10C",6.8224575592118e-18,0.50588064123207,0.502,0.331,1.63090847952958e-13,"0","TBC1D10C"
"DNPH1",7.08321172622636e-18,-0.441562300627611,0.026,0.139,1.69324176315441e-13,"0","DNPH1"
"OSBPL5",8.28570829351672e-18,0.456824667403584,0.164,0.049,1.98069856756517e-13,"0","OSBPL5"
"FGL2",9.88199278224095e-18,0.4606127608663,0.138,0.034,2.3622903745947e-13,"0","FGL2"
"CTSC",1.04795363362619e-17,0.427279447094711,0.609,0.443,2.50513316118341e-13,"0","CTSC"
"MT-CYB",1.07448389289604e-17,0.270041435938971,0.999,0.996,2.56855374596798e-13,"0","MT-CYB"
"SSBP4",1.640192575577e-17,0.498610673636204,0.336,0.178,3.92088035191681e-13,"0","SSBP4"
"ZAP70",1.81979574892147e-17,0.496040096534455,0.527,0.351,4.35022173779677e-13,"0","ZAP70"
"UCP2",2.33208966350983e-17,0.418030785581325,0.665,0.497,5.57486034062026e-13,"0","UCP2"
"PTGDR",2.50968081301765e-17,0.522729406122466,0.341,0.178,5.99939198351869e-13,"0","PTGDR"
"FEZ1",4.78348874459801e-17,0.438974301160953,0.124,0.028,1.14349298439615e-12,"0","FEZ1"
